id,VENTAS_MES_ANTERIOR,POTTOT,REMUNERACION_TOTAL,CYG,COD_DEPTO,CPAM,GRUPOS4,ANOS_ESPACIO,OLA,F_EXP
4787567117,3800000,0.0,0.0,1845000,8,1,3,1,2019,47.237162355
478759014,2500000,0.0,0.0,1935000,8,1,3,4,2019,62.184569986
478759611,3500000,0.0,0.0,2844000,8,1,3,2,2019,50.088079936
478781512,480000,0.0,0.0,290000,11,1,3,1,2019,321.31775327
478787811,1500000,0.0,0.0,2000000,11,1,3,5,2019,355.45139667
478802912,280000,0.0,0.0,100000,13,1,3,5,2019,36.705117388
478808311,3200000,3.0,720000.0,1260000,13,1,4,4,2019,59.121394816
478808611,1800000,0.0,0.0,220000,13,1,3,5,2019,35.109667079
478824412,1300000,0.0,0.0,253000,17,1,3,5,2019,17.090281518
478834712,975000,0.0,0.0,340000,18,1,4,5,2019,8.8210299494
478852113,1800000,1.0,300000.0,815000,23,1,3,4,2019,13.694399743
478852811,11700000,1.0,0.0,6300000,23,1,4,5,2019,12.240583098
478860412,600000,0.0,0.0,180000,23,1,3,1,2019,15.66261076
478879315,550000,0.0,0.0,201000,41,1,3,5,2019,19.211871632
478880111,150000,0.0,0.0,103000,41,1,4,5,2019,14.992695068
478882612,900000,0.0,0.0,832000,41,1,4,2,2019,17.585216055
478894111,300000,0.0,0.0,30000,44,1,4,3,2019,40.934945577
478894211,3080000,0.0,0.0,2800000,44,1,3,2,2019,24.745939719
478902111,90000,0.0,0.0,91200,47,1,2,1,2019,23.647446803
478905118,400000,0.0,0.0,140000,47,1,4,5,2019,12.539252767
478906311,1000000,0.0,0.0,620000,47,1,3,5,2019,9.7062708998
478906312,1500000,0.0,0.0,1060000,47,1,3,5,2019,9.7062708998
478906313,1200000,0.0,0.0,730000,47,1,3,5,2019,9.7062708998
478908711,1700000,0.0,0.0,750000,47,1,3,5,2019,20.99189391
478912315,1500000,0.0,0.0,800000,50,1,4,2,2019,34.212987884
478922411,800000,0.0,0.0,655000,52,1,4,1,2019,16.856980562
478934212,400000,0.0,0.0,205000,54,1,4,1,2019,34.315482179
478948313,80000,0.0,0.0,60000,68,1,3,2,2019,39.987818769
478965611,750000,0.0,0.0,508000,70,1,3,5,2019,10.318534817
478969221,780000,1.0,0.0,340000,73,1,4,3,2019,22.53701879
478970712,300000,0.0,0.0,125000,73,1,4,1,2019,27.418850968
478984911,1300000,0.0,0.0,838000,76,1,4,5,2019,124.59266024
478985811,1188000,0.0,0.0,544000,76,1,4,5,2019,89.920685677
478991911,3500000,0.0,0.0,2030000,88,1,4,5,2019,3.9901449887
478994811,6000000,0.0,0.0,272000,88,1,4,5,2019,6.2593443769
478995811,800000,0.0,0.0,47000,88,1,3,2,2019,3.9901449887
479018511,2000000,0.0,0.0,1000000,5,1,3,5,2019,101.98742814
479066911,2400000,1.0,450000.0,1000000,25,0,3,5,2019,251.29274178
479066912,240000,1.0,500000.0,150000,25,0,3,5,2019,251.29274178
479081511,4106643,0.0,0.0,2615163,27,0,2,5,2019,41.904693159
479082011,800000,0.0,0.0,349734,27,0,4,5,2019,68.421370122
479088311,917043,1.0,0.0,783050,27,0,3,1,2019,63.25250697
479104011,672000,0.0,0.0,198000,44,0,3,5,2019,89.785008131
479107711,104000,0.0,0.0,58000,44,0,2,5,2019,162.31356456
479107911,110000,0.0,0.0,35000,44,0,2,5,2019,121.31697889
479116712,940000,1.0,0.0,501500,52,0,4,2,2019,207.74662584
479120011,480000,1.0,0.0,65000,52,0,4,3,2019,306.9691452
479158211,1800000,0.0,0.0,1600000,5,1,3,4,2019,117.95386406
479177911,1600000,1.0,0.0,1220000,17,1,2,5,2019,15.426889356
479183811,700000,0.0,0.0,260000,19,1,4,1,2019,17.921215779
479185512,600000,0.0,0.0,157500,19,1,4,5,2019,8.6774130628
479210911,850000,0.0,0.0,300000,50,1,4,1,2019,28.792315449
479220915,1500000,2.0,500000.0,750000,52,1,3,2,2019,20.586387435
479221413,400000,0.0,0.0,48500,52,1,4,5,2019,11.036400717
479222712,1600000,0.0,0.0,1030000,52,1,3,5,2019,13.850492351
479225811,10500000,0.0,120000.0,5030000,52,1,3,2,2019,21.099146779
479230011,1040000,0.0,0.0,893200,54,1,3,2,2019,32.002237092
479235312,720000,0.0,0.0,257600,63,1,4,3,2019,9.9939976948
479243611,1300000,0.0,97000.0,400000,66,1,3,2,2019,31.572541686
479254912,2000000,1.0,0.0,1300000,68,1,4,5,2019,56.686133101
479256611,28000,0.0,0.0,5000,68,1,4,2,2019,56.552131985
479257611,130000,0.0,0.0,40000,68,1,4,1,2019,26.303219441
479260512,850000,0.0,0.0,825000,73,1,3,5,2019,26.860063031
479285512,1200000,0.0,0.0,840000,5,0,4,2,2019,385.29934462
479315513,900000,0.0,0.0,520000,5,1,3,5,2019,117.65706733
479315611,1200000,0.0,0.0,1000000,5,1,3,5,2019,78.549726929
479353211,700000,0.0,0.0,590000,11,1,4,1,2019,343.55589197
479370711,600000,0.0,0.0,120000,13,1,4,5,2019,44.844184609
479392415,1600000,0.0,0.0,1560000,17,1,3,2,2019,11.646859504
479410811,1350000,1.0,300000.0,248000,18,1,4,5,2019,7.227408942
479422211,3700000,1.0,520000.0,1425000,19,1,3,1,2019,13.553481469
479425115,80000,0.0,0.0,54000,19,1,3,5,2019,10.182659411
479436312,1200000,0.0,0.0,750000,20,1,3,4,2019,24.883673632
479452011,4000000,0.0,0.0,2300000,23,1,3,5,2019,11.726188726
479472013,2000000,0.0,0.0,1022000,41,1,4,5,2019,12.202513925
479472212,600000,0.0,0.0,200000,41,1,3,5,2019,17.435001811
479488011,600000,0.0,0.0,1730000,44,1,3,2,2019,6.292219433
479499911,900000,0.0,0.0,80000,47,1,4,5,2019,18.300241624
479505911,900000,0.0,0.0,380000,47,1,4,4,2019,14.734986753
479514712,1200000,0.0,0.0,800000,50,1,4,2,2019,8.1934623818
479520114,800000,0.0,0.0,666000,52,1,4,4,2019,22.787923462
479521811,1000000,0.0,0.0,400000,52,1,3,5,2019,13.440322173
479532311,1300000,0.0,0.0,975000,54,1,4,5,2019,32.977697904
479534611,3720000,0.0,0.0,3472000,54,1,3,1,2019,40.1329717
479535613,300000,0.0,0.0,266000,54,1,3,5,2019,37.411351533
479535611,500000,0.0,0.0,480000,54,1,3,5,2019,37.411351533
479539211,1500000,0.0,0.0,1156000,54,1,3,5,2019,36.042795226
479545312,200000,0.0,0.0,150000,63,1,3,4,2019,10.420128116
479547611,1800000,1.0,0.0,1240000,66,1,4,5,2019,27.186104536
479555912,400000,0.0,0.0,160000,68,1,4,1,2019,22.302865252
479556811,1248000,0.0,0.0,995000,68,1,4,4,2019,47.864240827
479556912,50000,0.0,0.0,40000,68,1,4,1,2019,45.608473516
479565114,1500000,0.0,0.0,1470000,70,1,3,5,2019,6.9666145665
479566413,1600000,0.0,0.0,1167000,70,1,3,1,2019,9.464893653
479569611,600000,0.0,0.0,270000,70,1,4,5,2019,11.130864433
479570111,600000,0.0,0.0,180000,70,1,4,5,2019,9.7706260751
479570913,4800000,0.0,0.0,1060000,70,1,3,5,2019,7.9579376167
479578312,270000,0.0,0.0,110000,70,1,3,3,2019,13.194599928
479579111,2000000,1.0,0.0,1120000,70,1,4,5,2019,7.41284136
479593611,650000,2.0,0.0,450000,73,1,4,2,2019,31.356825849
479603711,600000,0.0,0.0,210000,76,1,3,1,2019,125.73672869
479605412,2250000,0.0,0.0,596000,76,1,4,2,2019,74.089113418
479607012,2100000,2.0,600000.0,1550000,76,1,4,2,2019,203.29615814
479615311,2000000,1.0,0.0,673000,88,1,4,5,2019,5.8210554158
479615412,900000,0.0,0.0,28000,88,1,4,4,2019,6.5729359234
479666712,140000,1.0,0.0,100000,66,0,3,2,2019,102.59193228
479668711,420000,0.0,0.0,300000,66,0,3,5,2019,45.084330528
479676511,3770000,1.0,260000.0,3007000,20,1,4,1,2019,28.658408744
479710611,200000,0.0,0.0,145000,25,0,4,1,2019,252.06182629
479726614,800000,1.0,0.0,717000,44,0,4,1,2019,116.53648038
479788611,250000,0.0,0.0,180000,68,0,3,5,2019,154.4113881
479795312,1005000,0.0,0.0,158500,68,0,4,3,2019,169.91738364
479799411,1950000,1.0,0.0,900000,70,0,2,2,2019,216.21017659
479845411,1080000,0.0,0.0,1081400,17,0,4,5,2019,89.909943312
479899911,600000,0.0,0.0,490000,17,1,3,5,2019,15.507478267
479908212,4000000,1.0,450000.0,3435000,19,1,4,2,2019,9.0207818082
479908911,350000,0.0,0.0,295000,19,1,4,1,2019,14.033952068
479913212,300000,0.0,0.0,70000,23,1,4,5,2019,15.312340011
479928211,700000,0.0,0.0,230000,47,1,4,5,2019,22.803738108
479930511,800000,0.0,100000.0,250000,47,1,3,3,2019,16.887262591
479934611,3000000,0.0,0.0,1600000,50,1,4,5,2019,18.574398377
479935211,7000000,0.0,50000.0,5200000,50,1,3,5,2019,20.071100657
479937611,1400000,0.0,0.0,195000,50,1,4,5,2019,16.386924764
479942612,1200000,0.0,0.0,826000,52,1,3,5,2019,13.462199556
479944412,380000,0.0,0.0,300000,52,1,3,5,2019,18.190905173
479944611,1700000,1.0,0.0,712000,52,1,3,5,2019,36.572929731
479951411,450000,0.0,0.0,400000,54,1,4,5,2019,32.598985491
479954911,2500000,0.0,0.0,1530000,54,1,3,5,2019,37.411351533
479955211,250000,1.0,0.0,180000,54,1,3,5,2019,32.598985491
479955311,700000,1.0,0.0,150000,54,1,3,5,2019,37.380232929
479958011,760000,0.0,0.0,660000,63,1,4,3,2019,10.894134671
479962412,3150000,1.0,100000.0,1670000,63,1,4,5,2019,10.420128116
479967811,1100000,0.0,0.0,210000,66,1,3,5,2019,33.503168098
479969911,5000000,1.0,0.0,2303000,66,1,4,2,2019,35.644749009
479974413,1800000,0.0,0.0,1515000,68,1,4,5,2019,56.552131985
479991112,800000,0.0,0.0,419000,76,1,4,5,2019,70.552188068
479991311,800000,0.0,0.0,480000,76,1,4,5,2019,97.109913719
480013111,200000,0.0,0.0,135000,41,0,2,1,2019,320.47853798
480056412,2000000,1.0,0.0,470000,76,0,4,1,2019,159.69383549
480061413,1000000,1.0,0.0,380000,76,0,3,1,2019,180.33086693
480066811,4000000,0.0,0.0,3090000,8,0,3,5,2019,115.63446528
480074112,900000,1.0,0.0,790000,8,0,4,5,2019,173.77563528
480082611,600000,0.0,0.0,400000,18,0,4,2,2019,128.25039327
480087811,750000,2.0,40000.0,148000,18,0,3,2,2019,128.25039327
480093211,6500000,5.0,2200000.0,3760000,5,1,4,5,2019,80.693971211
480112611,300000,0.0,0.0,150000,8,1,4,5,2019,48.86629153
480113111,2000000,0.0,0.0,1032000,8,1,4,4,2019,44.214970624
480120613,800000,0.0,0.0,250000,8,1,3,1,2019,66.862823899
480124414,6000000,2.0,650000.0,5020000,8,1,3,2,2019,51.659097125
480137111,500000,0.0,0.0,438000,11,1,3,2,2019,389.85581186
480149312,180000,0.0,0.0,133000,13,1,4,4,2019,57.562393206
480174511,650000,0.0,0.0,2000,17,1,4,5,2019,17.925237521
480195711,1200000,0.0,0.0,920000,18,1,3,3,2019,7.195493973
480210511,6900000,0.0,0.0,4500000,20,1,3,1,2019,16.488675692
480215712,2500000,1.0,300000.0,1700000,20,1,4,2,2019,30.892295823
480217511,1100000,1.0,0.0,360000,20,1,3,5,2019,17.410765879
480218611,1680000,0.0,0.0,1229000,20,1,2,1,2019,23.829436012
480223112,7000000,1.0,750000.0,5800000,23,1,3,2,2019,18.955859273
480224311,60000,0.0,0.0,34000,23,1,4,2,2019,17.213138318
480233511,1300000,0.0,0.0,1020000,23,1,4,5,2019,15.606143955
480251611,220000,0.0,0.0,145000,41,1,3,2,2019,15.759264598
480280212,400000,0.0,0.0,210000,47,1,3,2,2019,20.126212168
480286311,1500000,0.0,0.0,1260000,47,1,4,4,2019,11.666442349
480292011,29000000,4.0,0.0,26600000,47,1,3,5,2019,15.173541782
480315911,780000,0.0,0.0,159200,54,1,4,5,2019,26.510294473
480317215,2310000,3.0,480000.0,1300000,63,1,4,2,2019,24.882303302
480346811,3900000,1.0,0.0,2732000,70,1,4,3,2019,10.567848146
480347912,3200000,2.0,600000.0,2640000,70,1,4,5,2019,5.5380814625
480351611,1200000,0.0,0.0,200000,70,1,4,5,2019,8.6580466648
480354211,3000000,0.0,0.0,548000,70,1,3,5,2019,11.788761721
480357014,400000,0.0,0.0,150000,70,1,4,4,2019,9.1677239469
480357816,300000,0.0,0.0,144000,70,1,3,3,2019,10.982434467
480358111,700000,0.0,0.0,800000,70,1,3,2,2019,9.1439746846
480359316,160000,0.0,0.0,78000,73,1,4,1,2019,28.444600411
480373211,1220000,0.0,0.0,770000,76,1,4,2,2019,80.676872489
480376911,1050000,1.0,0.0,600000,76,1,4,5,2019,82.576933776
480383811,12000000,0.0,0.0,9000000,88,1,3,5,2019,5.4711109014
480439113,200000,0.0,0.0,140000,63,1,4,2,2019,11.589952163
480441411,400000,0.0,0.0,200000,13,1,3,5,2019,26.970599858
480456612,889181,0.0,0.0,409608,5,1,4,5,2019,103.5074894
480460012,650000,0.0,0.0,620000,5,1,3,4,2019,94.613338665
480462012,1500000,1.0,500000.0,1000000,5,1,3,5,2019,96.968656824
480474813,6000000,0.0,0.0,5000000,5,1,3,5,2019,94.967601712
480479514,7000000,2.0,300000.0,4695000,8,1,4,1,2019,98.545558673
480479813,10000000,0.0,0.0,5000000,8,1,3,5,2019,112.10124871
480487611,1000000,0.0,0.0,200000,8,1,3,5,2019,46.733427805
480491711,2180000,0.0,0.0,355000,8,1,4,5,2019,52.239668105
480492114,800000,1.0,0.0,490000,8,1,4,3,2019,57.354277615
480518712,8550000,3.0,1160000.0,4640000,13,1,4,2,2019,34.107748489
480520911,1600000,0.0,0.0,850000,13,1,2,5,2019,38.42359512
480520915,1600000,0.0,0.0,820000,13,1,4,4,2019,38.42359512
480523611,420000,0.0,0.0,210000,13,1,4,3,2019,31.575058501
480523711,780000,0.0,0.0,300000,13,1,4,5,2019,32.263790798
480534921,400000,0.0,0.0,297000,15,1,3,2,2019,12.050994393
480555511,3000000,0.0,0.0,2410000,17,1,3,5,2019,21.8487764
480602611,2700000,0.0,0.0,2000000,20,1,3,5,2019,16.589623317
480607811,250000,1.0,0.0,85000,23,1,4,5,2019,17.016933566
480616611,2080000,1.0,0.0,1107000,23,1,4,1,2019,16.648685019
480646111,40000,0.0,0.0,40000,41,1,3,2,2019,11.288108145
480654511,5100000,0.0,0.0,4800000,44,1,3,4,2019,11.166355078
480659211,2200000,0.0,0.0,1628500,44,1,3,5,2019,11.166355078
480666511,1800000,1.0,530000.0,51000,47,1,4,5,2019,12.010937472
480676412,900000,0.0,0.0,475000,47,1,4,1,2019,30.989143469
480679414,900000,0.0,0.0,300000,47,1,3,2,2019,19.221494618
480680116,1400000,0.0,0.0,750000,47,1,4,1,2019,7.7472858674
480680411,3400000,0.0,0.0,2910000,47,1,4,5,2019,7.7472858674
480689711,1500000,0.0,0.0,1000000,50,1,3,1,2019,59.287221563
480723911,1300000,0.0,0.0,900000,54,1,3,1,2019,32.602067207
480725814,300000,0.0,0.0,256800,54,1,3,2,2019,29.202440689
480731711,2000000,1.0,0.0,920000,63,1,4,2,2019,14.42156349
480733912,2500000,2.0,788000.0,1080000,63,1,2,2,2019,15.874000063
480740413,300000,0.0,0.0,245000,63,1,3,2,2019,9.9188029007
480752911,150000,0.0,0.0,30000,66,1,2,5,2019,32.058437386
480758812,500000,0.0,0.0,110000,68,1,4,2,2019,97.914242213
480759911,1900000,0.0,0.0,1540000,68,1,3,4,2019,80.828307266
480760211,600000,0.0,0.0,225000,68,1,4,3,2019,73.308057553
480777712,800000,0.0,0.0,250000,70,1,3,4,2019,10.329525289
480785611,6200000,0.0,0.0,5060000,70,1,3,5,2019,10.185617108
480790211,300000,0.0,0.0,245000,73,1,3,5,2019,21.460973796
480794811,600000,1.0,0.0,260000,73,1,4,2,2019,23.786044219
480796711,3080000,0.0,0.0,2300000,73,1,3,5,2019,28.401784057
480806612,1680000,0.0,0.0,1109000,76,1,4,3,2019,85.701193783
480809413,3000000,0.0,0.0,2440000,76,1,3,5,2019,58.894210168
480821811,7500000,0.0,0.0,5062500,88,1,3,5,2019,3.1946861404
480822511,3900000,1.0,0.0,2820000,88,1,3,3,2019,4.8792904289
480823112,1300000,0.0,0.0,1260000,88,1,4,5,2019,4.7661030857
480879115,450000,0.0,0.0,50000,23,1,4,5,2019,17.198110797
480889911,1500000,0.0,0.0,40000,50,1,3,4,2019,32.766728092
480892513,800000,0.0,80000.0,60000,50,1,3,1,2019,19.523859101
480892711,1500000,0.0,0.0,890000,50,1,3,2,2019,23.143346703
480901512,800000,1.0,0.0,650000,54,1,4,4,2019,39.402512018
480925211,680000,0.0,0.0,500000,73,1,3,5,2019,30.142946098
480925911,4000000,0.0,0.0,3285000,73,1,3,5,2019,31.689567218
480927711,150000,0.0,0.0,14400,76,1,4,4,2019,101.55416977
480946613,18000000,0.0,0.0,12000000,8,1,3,5,2019,46.592493214
480961711,4000000,0.0,0.0,3206000,17,1,3,5,2019,20.356698092
480984011,300000,0.0,0.0,115000,41,1,4,5,2019,22.540248894
480984811,600000,0.0,0.0,60000,44,1,3,5,2019,7.1618973553
480990014,1200000,3.0,0.0,310000,47,1,2,1,2019,7.7472858674
480993212,1000000,0.0,0.0,840000,47,1,3,5,2019,23.266231682
