variables
COD_DePTO
AREA
P3032_1
P3032_2
P3032_3
GRUPOS4
GRUPOS12
P639
P3053
P3054
P3091
REMUNERACION_TOTAL
P1633
P640
P1055
P1056
P661
P1057
P4004
P2991
P2992
P2993
P3057_A
P3057_B
P3057_C
P3017_A
P3017_B
P3017_C
P3017_D
P3017_E
P3017_F
P3017_G
P3017_H
P3017_K
P3018_7
P3018_A
P3018_B
P3018_C
P3018_D
P3018_E
P3018_F
P3019
P3068_ENE
P3068_FEB
P3068_MAR
P3068_ABR
P3068_MAY
P3068_JUN
P3068_JUL
P3068_AGO
P3068_SEP
P3068_OCT
P3068_NOV
P3068_DIC
P3068_TOD
P3068_NIN
P4019
P4020
P4021
P4022
P4023
P4027
P1764_1
P1765
